,Area,Year,rainfall,Temperature,Area Code,Citrus Production(hg/ha),Pesticide quantity,Qte azote(N),Qte Engrais phosphatés,Qte potasse K2O
0,Afghanistan,1991,42.236691111111114,14.478165555555556,2,70657,0.0,5.33,0.72,0.0
128,Afghanistan,1992,37.21077888888888,13.893306666666668,2,66977,0.0,4.84,0.86,0.0
256,Afghanistan,1993,29.68903333333333,14.773843333333335,2,68619,0.0,5.04,0.0,0.0
384,Afghanistan,1994,30.157219999999995,14.71550111111111,2,69209,0.0,5.04,0.0,0.0
512,Afghanistan,1995,27.26077444444445,14.812504444444444,2,69721,0.0,5.04,0.0,0.0
640,Afghanistan,1996,32.208937777777784,14.5975,2,70160,0.0,0.64,0.0,0.0
768,Afghanistan,1997,28.612785555555554,14.691532222222225,2,70533,0.0,0.64,0.0,0.0
896,Afghanistan,1998,38.214061111111114,14.955888888888893,2,70841,0.0,0.76,0.13,0.0
1024,Afghanistan,1999,27.47205888888889,15.767012222222226,2,71000,0.0,0.64,0.0,0.0
1152,Afghanistan,2000,15.69318666666667,15.649665555555556,2,71245,0.0,0.64,0.0,0.0
1280,Afghanistan,2001,14.97838444444445,15.665746666666665,2,71417,0.0,2.37,0.0,0.0
1408,Afghanistan,2002,23.938696666666665,15.66128,2,71477,0.0,3.16,0.0,0.0
1536,Afghanistan,2003,30.465765555555556,15.159368888888887,2,73423,0.0,2.58,0.84,0.0
1664,Afghanistan,2004,20.89520777777778,16.11336,2,78025,0.0,2.82,1.36,0.0
1792,Afghanistan,2005,36.304126666666654,15.014904444444443,2,78230,0.0,2.59,1.16,0.01
1920,Afghanistan,2006,23.119722222222233,16.036467777777773,2,68560,0.0,2.59,0.56,0.0
2048,Afghanistan,2007,28.95648222222223,15.525302222222221,2,72575,0.0,2.07,0.0,0.0
2176,Afghanistan,2008,23.206755555555556,15.50750333333333,2,67500,0.0,1.82,0.0,0.0
2304,Afghanistan,2009,33.95792,15.69395888888889,2,50000,0.0,1.79,0.07,0.0
2432,Afghanistan,2010,28.174967777777766,15.966647777777775,2,33333,0.0,1.63,0.12,0.0
2560,Afghanistan,2011,28.223118888888887,15.87133,2,66667,0.0,2.9,0.87,0.0
2688,Afghanistan,2012,32.52687111111112,14.75889,2,66667,0.0,2.16,0.16,0.02
2816,Afghanistan,2013,31.11322444444444,15.847106666666667,2,69037,0.0,4.41,0.38,0.01
2944,Afghanistan,2014,28.15047,15.59796,2,73556,0.0,9.34,0.65,0.0
3072,Afghanistan,2015,35.85273888888889,15.684066666666665,2,61748,0.0,2.66,1.28,0.0
3200,Afghanistan,2016,30.34364111111111,16.604490000000002,2,84501,0.0,12.22,1.14,0.01
3328,Albania,1991,71.04026666666667,12.286311111111116,3,68750,0.17,31.72,10.95,1.85
3497,Albania,1992,55.52495555555557,12.565883333333336,3,143333,0.17,21.05,12.38,0.0
3666,Albania,1993,52.16906333333333,12.598886666666665,3,133000,0.17,21.68,2.24,1.57
3835,Albania,1994,76.31695555555557,14.048914444444444,3,216667,0.29,18.06,2.98,0.0
4004,Albania,1995,84.42354444444443,12.607118888888884,3,65774,0.36,14.25,1.42,0.0
4173,Albania,1996,84.75521111111111,12.24872111111111,3,66689,0.37,7.83,1.42,0.0
4342,Albania,1997,46.18013333333334,12.621883333333333,3,64191,0.39,6.0,1.43,0.0
4511,Albania,1998,61.57412222222222,13.526038888888884,3,46167,0.41,25.75,9.87,0.14
4680,Albania,1999,73.83124444444444,13.435901111111116,3,45833,0.42,8.3,6.72,0.14
4849,Albania,2000,42.241703333333334,13.517320000000002,3,53170,0.44,17.31,7.01,2.43
5018,Albania,2001,63.84373333333334,13.909277777777774,3,53030,0.46,15.31,9.3,2.15
5187,Albania,2002,75.47618888888887,13.57709888888889,3,68000,0.47,54.67,26.02,0.0
5356,Albania,2003,64.08795555555554,13.364885555555556,3,72013,0.49,53.47,28.65,0.0
5525,Albania,2004,78.5612888888889,12.786163333333333,3,74994,0.51,51.67,31.94,0.16
5694,Albania,2005,72.52857777777778,12.661775555555556,3,74480,0.55,56.47,35.11,0.17
5863,Albania,2006,86.90823333333334,12.971407777777774,3,77068,0.53,43.03,27.85,0.2
6032,Albania,2007,64.90346777777776,14.311943333333335,3,76076,0.56,45.11,27.65,0.47
6201,Albania,2008,68.82139000000001,13.815241111111117,3,79266,0.57,41.24,25.81,0.61
6370,Albania,2009,89.04914444444445,13.683456666666665,3,122892,0.59,48.76,29.96,0.36
6539,Albania,2010,84.81804444444441,13.58129,3,172888,0.85,44.96,31.08,0.43
6708,Albania,2011,53.32873333333333,13.746673333333336,3,208333,0.84,53.01,33.54,0.53
6877,Albania,2012,66.98229111111111,13.800674444444445,3,245573,0.52,50.21,31.85,0.73
7046,Albania,2013,78.78406666666667,14.019723333333335,3,173730,0.65,44.11,32.9,1.14
7215,Albania,2014,96.33261111111112,13.893296666666664,3,198670,0.66,44.13,32.91,1.14
7384,Albania,2015,77.18502,13.999357777777774,3,210307,0.77,52.87,41.27,1.15
7553,Albania,2016,96.4154,14.3749,3,269584,0.83,60.98,49.1,1.14
7722,Algeria,1991,7.042874444444448,24.126222222222214,4,86364,0.91,5.25,3.91,2.56
7896,Algeria,1992,7.330023333333332,23.92273333333333,4,91613,0.48,5.77,3.94,2.25
8070,Algeria,1993,4.6362811111111135,24.30894444444445,4,86350,0.46,9.15,4.32,2.77
8244,Algeria,1994,6.5422633333333335,24.840122222222234,4,90582,0.51,7.27,4.58,3.05
8418,Algeria,1995,5.372982222222222,24.710022222222207,4,79486,0.78,2.29,1.89,1.59
8592,Algeria,1996,9.902897777777778,24.663044444444445,4,85263,0.27,1.74,1.37,1.62
8766,Algeria,1997,6.515575555555557,24.940022222222233,4,86353,0.22,4.41,4.29,3.19
8940,Algeria,1998,5.245528888888889,25.1736,4,100828,0.18,5.38,3.77,4.06
9114,Algeria,1999,6.118614444444442,25.050422222222213,4,110285,0.27,5.74,3.05,2.56
9288,Algeria,2000,3.4276400000000007,25.05482222222223,4,103692,0.31,5.41,3.05,2.81
9462,Algeria,2001,4.313406666666667,25.337522222222226,4,109494,0.35,5.55,4.29,3.06
9636,Algeria,2002,4.257906666666667,24.88863333333333,4,118771,0.38,3.42,2.86,2.59
9810,Algeria,2003,8.179183333333334,25.27928888888889,4,129362,0.42,2.07,0.77,2.62
9984,Algeria,2004,6.877682222222222,24.87036666666667,4,138702,0.45,12.62,6.97,3.07
10158,Algeria,2005,4.7959122222222215,24.94563333333333,4,141238,0.34,0.49,3.89,2.3
10332,Algeria,2006,7.678678888888887,25.201888888888888,4,147157,0.3,5.23,3.79,2.8
10506,Algeria,2007,6.721801111111112,25.1097,4,143927,0.42,4.37,6.24,2.71
10680,Algeria,2008,5.051074444444444,25.08544444444444,4,138528,0.68,2.75,2.47,2.42
10854,Algeria,2009,8.577225555555554,25.13701111111111,4,165817,0.38,4.42,5.81,2.51
11028,Algeria,2010,7.454139999999999,25.692222222222235,4,124169,0.22,7.15,3.9,3.04
11202,Algeria,2011,7.557758888888888,25.35051111111111,4,171507,0.9,6.69,4.33,3.03
11376,Algeria,2012,6.410607777777778,25.015611111111113,4,165425,1.07,8.61,6.82,3.56
11550,Algeria,2013,6.636804444444442,24.87680000000001,4,184821,0.98,7.59,8.45,3.91
11724,Algeria,2014,5.282524444444444,25.39036666666667,4,213340,0.85,9.06,9.24,4.27
11898,Algeria,2015,7.0651366666666675,25.19986666666667,4,222260,0.53,8.79,7.47,4.49
12072,Algeria,2016,4.7083744444444475,25.57121111111111,4,181180,0.49,8.34,6.99,3.17
12246,Angola,1991,64.93303333333334,21.366644444444443,7,52379,0.02,0.67,0.67,0.67
12411,Angola,1992,54.19785777777778,21.564788888888888,7,54959,0.01,0.89,0.86,0.86
12576,Angola,1993,69.29225777777779,21.321544444444445,7,57539,0.05,0.57,0.86,0.86
12741,Angola,1994,55.32158444444442,21.326222222222224,7,60118,0.01,0.57,1.43,0.86
12906,Angola,1995,53.3821,21.842077777777767,7,62698,0.1,0.57,0.86,0.86
13071,Angola,1996,62.43495222222222,21.400566666666666,7,65278,0.01,0.57,0.57,0.57
13236,Angola,1997,74.79047222222222,21.666144444444445,7,65903,0.01,0.57,0.0,0.0
13401,Angola,1998,62.84605444444446,22.371177777777767,7,63752,0.01,0.66,0.0,0.31
13566,Angola,1999,64.36775555555555,21.325311111111112,7,57692,0.01,0.68,0.0,0.32
13731,Angola,2000,70.63471222222222,21.48735555555556,7,57778,0.01,0.42,0.0,0.0
13896,Angola,2001,69.96866222222222,21.83943333333333,7,66899,0.01,0.42,0.0,0.0
14061,Angola,2002,71.08486888888888,22.024266666666666,7,69328,0.01,0.81,0.3,0.41
14226,Angola,2003,60.99688666666668,22.07468888888889,7,71780,0.01,0.5,0.41,0.74
14391,Angola,2004,73.91960111111112,21.63383333333333,7,74626,0.01,2.0,1.01,1.12
14556,Angola,2005,60.29889666666668,22.36033333333333,7,70246,0.01,1.03,0.42,0.63
14721,Angola,2006,73.08314222222221,21.630122222222226,7,77118,0.01,1.85,0.38,1.13
14886,Angola,2007,65.66076,21.66406666666667,7,77819,0.01,1.51,0.65,0.88
15051,Angola,2008,69.75673555555558,21.398333333333333,7,118678,0.01,2.21,1.06,4.33
15216,Angola,2009,73.73298,21.822411111111112,7,119212,0.01,2.44,1.19,1.47
15381,Angola,2010,64.96137,22.12213333333333,7,117753,0.01,3.96,1.97,1.95
15546,Angola,2011,66.68139222222221,21.28894444444445,7,125938,0.01,3.28,3.38,4.62
15711,Angola,2012,74.56949888888889,21.37454444444445,7,72344,0.01,3.89,1.59,2.88
15876,Angola,2013,63.12987555555557,21.52133333333333,7,81024,0.01,3.94,1.82,2.99
16041,Angola,2014,71.32040888888888,21.52272222222221,7,91814,0.01,5.32,1.52,1.91
16206,Angola,2015,58.91892333333333,21.685588888888887,7,99657,0.01,4.91,1.01,1.68
16371,Angola,2016,56.15287666666666,22.04772222222222,7,99524,0.01,4.0,1.26,1.57
16536,Argentina,1991,46.707255555555534,13.704745555555556,9,175167,0.94,3.45,1.97,0.62
16710,Argentina,1992,52.152477777777776,13.162151111111116,9,172677,0.94,5.27,3.01,0.65
16884,Argentina,1993,42.116088888888896,13.458328888888884,9,167683,0.94,6.01,3.81,0.71
17058,Argentina,1994,43.73483333333333,13.965520000000001,9,185909,1.08,10.06,5.49,0.94
17232,Argentina,1995,37.91876666666667,13.092911111111116,9,184657,1.35,11.34,6.49,0.83
17406,Argentina,1996,42.06754444444445,13.331575555555553,9,152068,1.93,18.08,10.87,1.35
17580,Argentina,1997,45.02932222222222,14.007967777777774,9,213162,2.74,16.81,10.68,1.08
17754,Argentina,1998,48.32020000000001,13.392066666666668,9,206998,2.19,14.86,11.28,1.13
17928,Argentina,1999,48.0997,13.196903333333333,9,199825,2.57,16.03,11.92,0.91
18102,Argentina,2000,53.2461888888889,12.896205555555555,9,225204,2.94,17.4,11.66,1.08
18276,Argentina,2001,54.95675555555553,13.51807555555556,9,224394,3.31,17.27,11.64,1.08
18450,Argentina,2002,52.623622222222224,13.17609,9,203694,3.67,18.52,9.93,0.73
18624,Argentina,2003,42.676988888888886,13.686285555555555,9,183047,3.94,24.95,14.18,1.31
18798,Argentina,2004,38.90248888888889,13.749595555555556,9,187404,4.02,25.06,17.8,1.02
18972,Argentina,2005,43.50828888888889,13.316135555555556,9,193431,4.09,18.89,15.14,1.29
19146,Argentina,2006,38.80712222222222,13.76442111111111,9,201929,4.17,21.97,17.25,1.04
19320,Argentina,2007,46.219877777777775,12.684,9,176997,4.99,26.22,20.47,1.26
19494,Argentina,2008,41.12477777777777,13.542714444444444,9,189683,5.61,21.01,12.03,1.2
19668,Argentina,2009,33.80325555555555,13.943130000000002,9,194823,3.97,13.52,8.41,0.4
19842,Argentina,2010,44.4227888888889,13.28009222222222,9,190406,6.05,19.79,17.54,0.85
20016,Argentina,2011,41.13241111111111,13.501425555555556,9,259084,5.55,21.55,18.22,0.9
20190,Argentina,2012,41.31559666666666,13.948661111111116,9,223794,5.31,18.03,14.62,1.03
20364,Argentina,2013,36.35287777777777,13.56318,9,243174,5.21,19.37,14.77,0.95
20538,Argentina,2014,53.46322222222222,13.752865555555555,9,218950,5.17,19.5,13.96,0.86
20712,Argentina,2015,46.76245555555556,14.301495555555556,9,242161,5.07,15.01,10.57,1.02
20886,Argentina,2016,46.69253333333333,13.397373333333332,9,250444,4.97,23.12,16.15,0.99
21060,Australia,1991,42.2837111111111,21.0553,10,180020,1.03,26.6,39.46,8.17
21234,Australia,1992,36.77171111111111,20.76041111111111,10,184402,1.36,29.76,48.09,8.98
21408,Australia,1993,40.72122666666667,20.884366666666672,10,217245,1.38,32.69,44.89,10.18
21582,Australia,1994,27.975522222222214,20.520844444444442,10,199675,1.17,32.32,51.57,12.17
21756,Australia,1995,43.999088888888906,20.587911111111108,10,186141,1.5,39.4,57.13,13.54
21930,Australia,1996,38.731,20.976188888888885,10,164251,1.61,42.49,51.19,10.61
22104,Australia,1997,44.5190888888889,20.432666666666666,10,188512,1.61,39.72,52.02,12.05
22278,Australia,1998,43.9682,21.37041111111111,10,185342,1.72,45.33,48.52,10.74
22452,Australia,1999,43.803777777777775,20.964822222222224,10,174092,1.47,46.51,45.73,9.28
22626,Australia,2000,54.099511111111106,20.297766666666668,10,190878,1.41,40.01,46.97,9.13
22800,Australia,2001,40.68718888888888,20.66071111111111,10,226261,1.33,42.17,48.82,9.87
22974,Australia,2002,28.84336666666666,20.872866666666667,10,210009,1.11,40.41,44.81,8.96
23148,Australia,2003,38.515211111111114,21.10045555555556,10,232156,1.38,39.57,43.27,9.36
23322,Australia,2004,42.67181111111111,20.751955555555554,10,187186,1.39,40.51,42.83,9.92
23496,Australia,2005,29.13972888888888,21.43042222222222,10,220414,1.28,35.61,38.96,8.3
23670,Australia,2006,43.80448333333334,20.592522222222215,10,202698,1.46,34.93,40.39,9.1
23844,Australia,2007,37.931358888888894,21.015622222222227,10,201070,1.38,36.04,42.09,9.66
24018,Australia,2008,34.97214888888889,20.662233333333333,10,192771,1.76,34.26,33.86,8.76
24192,Australia,2009,40.04477777777778,21.0817,10,190281,1.38,30.89,23.52,5.7
24366,Australia,2010,49.5256888888889,20.817788888888884,10,197895,1.62,37.81,31.72,6.4
24540,Australia,2011,49.87536666666666,20.305433333333333,10,202972,1.48,34.26,27.44,5.6
24714,Australia,2012,42.77129111111112,20.234922222222227,10,196733,1.52,35.15,27.62,5.88
24888,Australia,2013,35.7031,21.648711111111112,10,197723,1.43,38.66,26.65,6.63
25062,Australia,2014,39.348477777777774,21.17501111111111,10,199931,1.54,43.48,28.11,7.17
25236,Australia,2015,37.01223444444444,20.86083333333333,10,200756,1.62,41.49,29.56,7.64
25410,Australia,2016,42.51910000000001,21.446566666666676,10,200757,2.09,48.53,31.21,8.41
25584,Azerbaijan,1992,37.17808888888889,12.031974444444444,52,66860,0.07,24.82,9.93,2.48
25656,Azerbaijan,1993,36.63896666666667,12.580351111111105,52,58965,0.07,16.78,7.4,2.47
25728,Azerbaijan,1994,36.63939,13.27207777777778,52,55420,0.07,16.73,0.0,2.46
25800,Azerbaijan,1995,33.117877777777764,14.488232222222226,52,56803,0.07,16.7,0.0,2.46
25872,Azerbaijan,1996,32.93603333333333,13.64107888888889,52,67232,0.07,8.11,0.0,0.0
25944,Azerbaijan,1997,39.82413333333333,13.411620000000001,52,68972,0.07,9.7,1.31,0.48
26016,Azerbaijan,1998,30.7852,14.267571111111113,52,93539,0.07,6.31,1.36,0.0
26088,Azerbaijan,1999,34.929942222222216,14.72877222222222,52,172172,0.07,6.69,0.0,0.0
26160,Azerbaijan,2000,28.127060000000004,14.585731111111107,52,133974,0.07,1.02,0.0,0.97
26232,Azerbaijan,2001,27.92669444444445,14.976130000000005,52,131680,0.07,4.8,0.0,0.97
26304,Azerbaijan,2002,44.221511111111106,14.229905555555556,52,135513,0.07,7.63,0.76,0.9
26376,Azerbaijan,2003,44.50975555555557,13.308777777777774,52,134626,0.07,6.1,0.13,0.58
26448,Azerbaijan,2004,44.67218888888888,14.40964,52,142772,0.07,9.52,0.17,0.99
26520,Azerbaijan,2005,39.41497777777778,14.034470000000002,52,136169,0.07,8.51,1.56,1.86
26592,Azerbaijan,2006,36.625565555555546,14.511278888888887,52,171041,0.07,9.87,1.02,1.02
26664,Azerbaijan,2007,32.86885888888889,13.994151111111117,52,137320,0.07,8.07,0.64,0.78
26736,Azerbaijan,2008,34.042811111111114,13.963025555555555,52,100535,0.13,14.21,2.89,1.56
26808,Azerbaijan,2009,41.12284444444444,13.673791111111116,52,106833,0.15,9.17,1.27,1.52
26880,Azerbaijan,2010,47.79288888888888,15.338823333333332,52,132108,0.16,6.07,1.01,1.81
26952,Azerbaijan,2011,38.84241111111111,14.172795555555556,52,113192,0.22,10.65,1.47,1.77
27024,Azerbaijan,2012,33.03847888888889,14.257525555555553,52,134611,0.24,12.94,2.85,1.21
27096,Azerbaijan,2013,35.31761111111111,14.938008888888893,52,166727,0.23,11.78,4.65,1.4
27168,Azerbaijan,2014,28.22612333333333,15.070263333333335,52,148074,0.25,17.57,8.1,2.64
27240,Azerbaijan,2015,37.78228333333333,15.087865555555556,52,146373,0.24,41.26,2.08,2.07
27312,Azerbaijan,2016,38.53655555555555,14.959687777777779,52,162489,0.24,38.65,0.22,0.58
27384,Bahamas,1991,116.15761111111112,25.9857,12,176405,0.0,20.0,0.0,10.0
27506,Bahamas,1992,101.42647777777776,25.13671111111111,12,189744,0.0,20.0,0.0,10.0
27628,Bahamas,1993,125.56244444444445,25.35374444444445,12,214286,0.0,10.0,0.0,10.0
27750,Bahamas,1994,111.89322222222222,25.93146666666667,12,221011,0.0,10.0,0.0,10.0
27872,Bahamas,1995,156.06978888888887,25.615977777777786,12,233623,0.0,10.0,0.0,10.0
27994,Bahamas,1996,124.25014444444444,25.12942222222223,12,238011,0.0,20.0,10.0,10.0
28116,Bahamas,1997,131.89563333333334,25.800177777777787,12,207086,0.0,10.0,10.0,10.0
28238,Bahamas,1998,114.78828888888887,25.73484444444445,12,248338,0.0,10.0,10.0,10.0
28360,Bahamas,1999,91.57402222222223,25.41854444444445,12,270235,0.0,10.0,10.0,10.0
28482,Bahamas,2000,110.96531111111106,25.490566666666666,12,261342,0.0,9.09,9.09,9.09
28604,Bahamas,2001,133.17428888888892,25.33971111111111,12,267105,33.0,36.36,18.18,18.18
28726,Bahamas,2002,133.57954444444445,25.841911111111113,12,270270,29.55,36.36,18.18,18.18
28848,Bahamas,2003,109.8304777777778,25.839533333333332,12,276316,24.55,36.36,18.18,18.18
28970,Bahamas,2004,103.32323333333336,25.52463333333333,12,302500,21.64,36.36,18.18,18.18
29092,Bahamas,2005,122.84553333333336,25.542222222222232,12,303846,26.64,36.36,18.18,18.18
29214,Bahamas,2006,108.60697777777777,25.39032222222223,12,326923,23.09,36.36,18.18,18.18
29336,Bahamas,2007,143.91345555555554,25.650544444444453,12,350575,23.09,36.36,18.18,18.18
29458,Bahamas,2008,115.10592222222219,25.753977777777767,12,345679,23.09,36.36,18.18,18.18
29580,Bahamas,2009,114.05066666666669,25.40532222222223,12,346932,19.54,36.36,18.18,18.18
29702,Bahamas,2010,121.6805888888889,25.29946666666667,12,306254,19.54,36.36,18.18,18.18
29824,Bahamas,2011,103.32684444444445,25.8545,12,304290,21.17,36.36,18.18,18.18
29946,Bahamas,2012,145.35834444444447,25.651855555555557,12,303834,21.17,58.05,24.54,20.81
30068,Bahamas,2013,116.81386666666668,25.541722222222226,12,309957,21.17,40.82,26.33,22.56
30190,Bahamas,2014,136.1362111111111,26.022277777777767,12,315445,21.17,46.31,22.97,32.45
30312,Bahamas,2015,106.3095222222222,26.308711111111112,12,323307,21.17,55.25,33.63,37.71
30434,Bahamas,2016,130.42512222222223,26.01427777777778,12,324825,21.17,55.25,33.63,37.71
30556,Bangladesh,1991,264.3900222222221,25.699255555555553,16,27893,0.13,72.59,22.28,8.46
30730,Bangladesh,1992,182.27524444444444,25.48027777777777,16,29633,0.16,79.71,23.69,8.21
30904,Bangladesh,1993,278.1740533333334,25.2357,16,29322,0.17,82.93,16.93,7.04
31078,Bangladesh,1994,190.99293333333333,25.808311111111113,16,29551,0.18,91.75,17.52,10.55
31252,Bangladesh,1995,243.1409633333334,26.08182222222222,16,29284,0.19,107.48,18.01,10.71
31426,Bangladesh,1996,217.8925644444444,26.008288888888888,16,30121,0.22,114.14,13.46,13.41
31600,Bangladesh,1997,244.3504722222223,25.4661,16,28899,0.23,100.01,13.33,13.21
31774,Bangladesh,1998,260.0955222222222,25.9452,16,30520,0.23,99.9,18.27,14.33
31948,Bangladesh,1999,256.8483788888889,26.392022222222234,16,30480,0.28,114.19,23.34,16.16
32122,Bangladesh,2000,248.7836555555556,25.3825,16,31663,0.36,113.17,28.45,8.41
32296,Bangladesh,2001,219.50480777777776,26.19508888888889,16,31062,0.38,119.76,28.28,16.63
32470,Bangladesh,2002,257.62285,25.98155555555556,16,30199,0.48,123.28,36.76,17.82
32644,Bangladesh,2003,226.95693222222215,25.95763333333333,16,30489,0.63,109.0,22.95,19.14
32818,Bangladesh,2004,202.46334222222214,26.15373333333333,16,30367,0.8,109.37,31.28,18.67
32992,Bangladesh,2005,185.9098733333333,26.33663333333334,16,40867,0.93,114.03,37.51,28.05
33166,Bangladesh,2006,215.61890111111111,26.640933333333336,16,42056,1.08,126.6,34.4,14.38
33340,Bangladesh,2007,314.45344,26.16204444444445,16,50010,1.26,120.99,29.55,15.79
33514,Bangladesh,2008,221.6564666666667,26.0267,16,46932,1.43,148.73,12.68,19.0
33688,Bangladesh,2009,205.72269333333332,26.924966666666666,16,42736,1.59,133.72,19.69,16.88
33862,Bangladesh,2010,234.93788333333336,26.720766666666666,16,42291,1.53,135.03,34.27,22.72
34036,Bangladesh,2011,302.76279777777773,26.01474444444445,16,39865,1.74,149.49,46.87,33.91
34210,Bangladesh,2012,213.7579488888889,25.656922222222214,16,50641,1.56,132.6,58.69,43.17
34384,Bangladesh,2013,211.7479577777777,25.729888888888887,16,47939,1.8,130.67,58.82,40.27
34558,Bangladesh,2014,207.26706666666664,25.635366666666666,16,54291,1.87,144.75,66.46,40.73
34732,Bangladesh,2015,272.42414,25.54136666666666,16,41124,1.56,154.28,70.86,44.85
34906,Bangladesh,2016,213.20505444444447,26.00814444444445,16,46940,1.67,136.41,74.29,50.76
35080,Belize,1991,145.08563333333333,25.973822222222232,23,36248,8.59,18.52,24.69,20.99
35252,Belize,1992,158.37436666666662,25.59275555555556,23,58631,11.46,17.24,27.59,21.84
35424,Belize,1993,195.2995,25.506477777777786,23,59743,11.26,15.96,31.91,20.21
35596,Belize,1994,162.22042222222225,25.80472222222223,23,93416,11.9,12.77,14.89,21.28
35768,Belize,1995,178.9512555555556,25.77464444444444,23,88169,12.29,13.54,28.13,10.42
35940,Belize,1996,148.58768888888892,25.40133333333333,23,91272,12.78,10.31,13.4,10.31
36112,Belize,1997,163.71315555555555,26.048800000000004,23,101882,13.28,13.27,25.51,10.2
36284,Belize,1998,149.09513444444445,26.031355555555553,23,77321,13.9,19.78,27.55,10.2
36456,Belize,1999,167.19146666666666,25.40943333333333,23,76484,13.62,22.95,28.0,10.0
36628,Belize,2000,159.03275555555558,25.48172222222223,23,118892,13.09,28.69,19.19,14.14
36800,Belize,2001,167.18164444444446,25.998866666666668,23,141574,17.36,19.19,23.23,5.05
36972,Belize,2002,151.49945888888888,26.10734444444445,23,149315,14.99,119.02,96.42,36.92
37144,Belize,2003,126.31331111111106,26.3631,23,138749,13.14,202.88,45.49,14.04
37316,Belize,2004,148.62358888888892,26.071255555555553,23,173586,11.27,25.43,24.5,4.05
37488,Belize,2005,170.04678888888893,26.288377777777768,23,202272,9.41,40.28,15.15,0.16
37660,Belize,2006,220.22964444444446,26.01531111111111,23,168595,7.55,28.05,32.93,0.27
37832,Belize,2007,167.10371111111112,26.19607777777778,23,143370,6.61,25.43,15.29,1.05
38004,Belize,2008,176.50104444444443,26.24136666666667,23,151747,9.65,16.35,15.94,1.85
38176,Belize,2009,137.63322222222223,26.253766666666664,23,147881,7.51,55.79,25.94,2.7
38348,Belize,2010,214.1132888888889,26.058555555555554,23,129951,6.54,21.31,12.17,7.19
38520,Belize,2011,174.51582222222225,26.45341111111112,23,108214,7.73,53.28,107.02,4.21
38692,Belize,2012,180.0235888888889,26.31594444444445,23,142569,5.8,55.42,31.53,12.38
38864,Belize,2013,227.3333111111112,26.156066666666664,23,99634,9.43,124.42,76.29,75.21
39036,Belize,2014,156.28525555555558,26.19086666666667,23,99991,8.0,161.69,64.37,39.3
39208,Belize,2015,128.84117777777777,26.445677777777767,23,109250,8.89,146.79,94.14,39.65
39380,Belize,2016,163.55531111111108,26.5844,23,90007,10.49,140.1,106.16,56.8
39552,Benin,1991,124.0020977777778,27.731088888888888,53,66104,0.0,2.9,2.48,1.45
39725,Benin,1992,98.66615,27.43406666666667,53,64680,0.0,3.55,3.34,1.89
39898,Benin,1993,98.25792888888887,27.58436666666667,53,63257,0.0,4.44,3.41,1.89
40071,Benin,1994,105.63015888888893,27.66481111111112,53,61833,0.0,4.18,3.23,1.81
40244,Benin,1995,113.38522111111112,27.72862222222223,53,60409,0.0,7.11,7.61,3.55
40417,Benin,1996,109.09288444444445,27.910955555555557,53,58986,0.0,6.69,4.78,2.73
40590,Benin,1997,99.80571666666668,27.64466666666667,53,57562,0.0,8.02,5.39,3.25
40763,Benin,1998,113.10411666666668,28.310977777777786,53,56139,0.0,6.14,5.83,3.12
40936,Benin,1999,113.83161666666668,27.8318,53,54715,0.0,13.52,4.06,4.57
41109,Benin,2000,95.68466444444445,27.90923333333333,53,53292,0.0,5.41,4.31,3.59
41282,Benin,2001,88.95488333333334,27.925877777777767,53,51868,0.0,5.56,2.76,3.13
41455,Benin,2002,101.38946,28.135377777777766,53,50444,0.0,8.37,3.68,2.77
41628,Benin,2003,122.22495666666666,28.18691111111111,53,49021,0.0,0.45,0.14,0.14
41801,Benin,2004,107.82532555555555,27.923566666666666,53,47378,0.0,0.05,0.0,0.0
41974,Benin,2005,100.72505,28.36512222222222,53,49602,0.0,0.14,0.14,0.14
42147,Benin,2006,97.49366777777777,28.426677777777787,53,48218,0.0,0.0,0.0,0.0
42320,Benin,2007,116.68109111111113,28.09438888888889,53,49020,0.0,0.21,0.01,0.01
42493,Benin,2008,121.99470333333332,27.83378888888889,53,43391,0.0,0.12,0.14,0.01
42666,Benin,2009,106.5450622222222,28.349355555555558,53,40698,0.0,1.87,1.7,1.7
42839,Benin,2010,112.67314111111112,28.610422222222233,53,38063,0.0,3.9,3.46,0.01
43012,Benin,2011,87.89267888888891,28.364866666666664,53,35418,0.0,1.33,0.99,1.26
43185,Benin,2012,103.40805111111106,27.913477777777786,53,28000,0.0,2.79,2.78,2.78
43358,Benin,2013,93.82227,28.2604,53,23080,0.0,1.48,1.25,1.24
43531,Benin,2014,104.15700333333334,28.369211111111113,53,32415,0.0,4.34,1.07,1.01
43704,Benin,2015,87.69964666666668,28.498577777777786,53,23723,0.0,0.05,0.0,0.05
43877,Benin,2016,97.44464111111112,28.438455555555553,53,29988,0.0,4.17,2.01,2.01
44050,Bhutan,1991,223.18418888888888,12.646647777777774,18,68296,0.03,0.65,0.0,0.0
44130,Bhutan,1992,186.29515666666668,12.423065555555556,18,68629,0.03,0.65,0.0,0.0
44210,Bhutan,1993,209.3626,12.54822,18,68639,0.02,0.65,0.0,0.0
44290,Bhutan,1994,170.01308888888892,13.089783333333335,18,69276,0.16,0.63,0.0,0.0
44370,Bhutan,1995,209.02505777777776,13.10221888888889,18,69591,0.18,0.61,0.0,0.0
44450,Bhutan,1996,187.76591777777787,12.859974444444445,18,69903,0.19,0.59,0.0,0.0
